Product Title,Price,Rating,Reviews,Product URL
Aristocrat Zeal 15L Unisex Grey Laptop Bags,Rs. 919,5.0 out of 5 stars,3,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfbXRmOjIwMDg0NDY3OTY1NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAristocrat-Zeal-Unisex-Grey-Laptop%2Fdp%2FB0B5YHC1W5%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26psc%3D1
"
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls","Rs. 1,600",4.0 out of 5 stars,63,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfbXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26psc%3D1
"
Afn Fashion 45 Ltrs Casual backpack/ office/ School Bag/Laptop Backpack for (15.6 inch) Blue,Rs. 799,4.0 out of 5 stars,"1,465","https://www.amazon.in/AFN-FASHION-Casual-bagpack-Backpack/dp/B081X69ZL7/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-45
"
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",Rs. 649,3.9 out of 5 stars,509,"https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-46
"
"Arctic Hunter Sling bag for men,Chest Bag for Men,Shoulder Bag for Men with Handle Crossbody Bag IPX6 Water-resistant Anti-theft Side Bag for Travel,Business,Black","Rs. 1,999",4.8 out of 5 stars,8,"https://www.amazon.in/Shoulder-Crossbody-Water-resistant-Anti-theft-Business/dp/B0B6G2SQW9/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-47
"
Skybags Brat 22L Red Polyester Casual backpack,Rs. 574,3.9 out of 5 stars,17,"https://www.amazon.in/Skybags-Brat-Polyester-Casual-backpack/dp/B0BBPPM33V/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-48
"
BEATLE NXT 01 LAPTOP BACKPACK (E) BLUE,"Rs. 1,197",3.6 out of 5 stars,18,"https://www.amazon.in/BEATLE-NXT-LAPTOP-BACKPACK-BLUE/dp/B0B3Y27TYX/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-49
"
Dybbuk Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office,Rs. 449,2.5 out of 5 stars,2,"https://www.amazon.in/Dybbuk-Lightweight-Backpacks-Stylish-College/dp/B0BCGWRTHT/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-50
"
Dybbuk Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,Rs. 599,5.0 out of 5 stars,1,"https://www.amazon.in/Dybbuk-Lightweight-Backpacks-Stylish-College/dp/B0BJ26VMFT/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-51
"
"Puma Unisex-Adult Phase AOP Backpack, Black-Logo AOP, X (7804606)","Rs. 1,299",3.5 out of 5 stars,11,"https://www.amazon.in/Puma-Unisex-Adult-Backpack-Black-Logo-7804606/dp/B096Z9991Z/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1667055324&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-52
"
